DQAID,WID,TSN,T7_1,T7_2,T7_3,T7_4,T7_5,T7_6,T7_7,T7_8,T7_9,T7_10,T7_11,LAST SYNC DATE
3117875660,10055416,1,6,1,1,4,2,1,1,2,2,2,2,24/01/2019,
3117186485,10045294,1,5,1,1,8,1,1,3,15,2,2,2,09/11/2018,
3316670629,10041998,1,6,1,1,4,1,1,3,13,2,2,2,05/02/2018,
3216149797,10054335,1,3,1,1,5,1,2,3,12,2,2,2,23/12/2017,
3216277179,10054446,1,3,1,1,5,1,1,3,12,2,2,2,23/12/2017,
3216997403,10054260,1,3,1,1,4,1,1,3,12,2,2,2,11/01/2019,
3117569001,10049853,1,5,1,1,4,2,1,3,13,2,2,2,24/04/2019,
3117200743,10067310,1,2,1,1,5,2,1,1,5,2,2,2,02/03/2019,
3117254328,10058507,1,5,1,1,5,2,1,1,3,2,2,,06/02/2019,
3117751519,10063211,1,2,1,1,1,1,2,1,3,2,2,1,11/04/2019,
3316328082,10051884,1,5,1,1,4,1,1,3,16,2,1,2,05/02/2019,
3316397120,10042053,1,3,1,1,4,2,1,3,15,1,2,2,23/12/2017,
3316446053,10041716,1,5,1,1,4,1,1,3,11,2,2,2,26/04/2019,
3316034818,10053930,1,2,1,1,9,1,2,1,6,2,2,2,02/05/2018,
3316928036,10057341,1,1,1,1,1,1,1,1,1,1,2,2,04/01/2019,
3316014172,10082561,1,2,1,1,9,1,2,1,5,2,1,2,17/04/2019,
3117145962,10049551,1,4,1,1,4,2,1,3,16,2,2,2,07/02/2019,
3117001321,10045273,1,2,1,1,9,1,6,3,11,2,1,2,04/01/2019,
3117814000,10052494,1,2,1,1,1,2,1,1,3,2,2,2,13/03/2019,
3117846063,10067526,1,5,1,1,1,1,1,1,3,2,2,2,08/02/2019,
3117428361,10076829,1,6,1,1,1,2,1,3,18,2,2,2,04/01/2019,
3117122778,10042512,1,5,1,1,4,2,1,1,5,2,2,2,23/12/2017,
3117076952,10044685,1,5,1,1,4,1,1,3,13,2,2,2,27/02/2019,
3117496912,10048853,1,6,1,1,1,2,1,1,3,2,2,2,16/04/2019,
3117868460,10048044,1,6,1,1,4,2,1,3,13,2,2,2,03/02/2018,
3216080900,10042136,1,5,1,1,5,1,6,3,16,2,1,2,04/01/2019,
3216626207,10044529,1,4,1,1,4,2,1,3,8,2,2,1,23/04/2019,
3216281300,10065184,1,6,1,1,1,2,1,3,11,1,2,2,05/12/2018,
3216329401,10043895,1,3,1,1,10,2,6,1,2,2,2,2,02/05/2018,
3316057617,10071729,1,6,1,1,5,1,6,1,4,2,1,,21/12/2018,
3117075532,10057815,1,5,1,1,6,1,1,3,13,2,2,2,28/03/2019,
3117790963,10058805,1,2,1,1,9,1,6,3,15,2,2,2,02/05/2018,
3117423676,10045361,1,4,1,1,3,2,1,3,23,2,2,2,16/11/2018,
3117395805,10059480,1,6,1,1,1,2,1,1,3,1,2,2,05/01/2018,
3117559264,10049848,1,2,1,1,6,2,1,3,8,2,2,2,11/10/2018,
3117743470,10069175,1,5,1,1,2,2,1,1,6,1,2,2,19/08/2018,
3117856387,10055974,1,6,1,1,4,1,1,1,2,2,2,2,23/12/2017,
3117340329,10070480,1,6,1,1,6,1,1,3,15,2,2,2,04/01/2019,
3117763376,10054779,1,5,1,1,5,2,1,3,23,2,2,2,03/04/2018,
3216572248,10066551,1,5,1,1,4,1,1,1,4,2,2,2,18/03/2019,
3316783442,10046589,1,5,1,1,4,1,1,1,3,2,2,2,19/04/2019,
3316012861,10043370,1,6,1,1,4,1,1,1,3,2,2,2,23/12/2017,
3316010101,10055103,1,5,1,1,2,2,1,1,1,2,2,2,03/04/2019,
3117175443,10046666,1,3,1,1,5,2,2,1,1,2,2,2,23/12/2017,
3117464466,10056523,1,3,1,2,3,1,1,3,15,2,2,2,23/12/2017,
3117140339,10071294,1,4,1,1,9,1,6,3,14,2,1,2,04/01/2019,
3117644918,10043934,1,2,1,1,9,2,2,3,15,2,1,2,02/05/2018,
3117368208,10063140,1,6,1,1,4,1,1,3,8,2,2,2,12/05/2018,
3117099747,10052191,1,3,1,1,7,1,6,1,2,2,1,1,04/02/2019,
3117773050,10050409,1,3,1,1,5,1,6,1,3,2,1,2,23/12/2017,
3117290262,10043926,1,6,1,1,7,2,1,3,8,1,2,2,19/11/2018,
3117011458,10047040,1,3,1,1,9,2,6,3,15,2,2,2,21/10/2018,
3117048248,10052037,1,4,1,1,5,2,1,3,23,2,2,2,03/03/2018,
3316630234,10066808,1,6,1,1,3,1,1,3,,2,,1,21/02/2019,
3117583828,10051294,1,5,1,1,5,2,1,1,2,2,2,2,29/08/2018,
3316013595,10081770,1,5,1,1,4,1,1,1,1,2,1,2,01/04/2019,
3316672553,10055879,1,3,1,1,4,1,1,1,3,2,2,2,17/04/2019,
3316607435,10052979,1,4,1,1,4,1,1,3,12,2,2,2,02/03/2019,
3117218754,10071492,1,6,1,1,5,2,1,3,23,2,2,2,21/09/2018,
3117016227,10041835,1,5,1,1,3,2,1,1,5,2,2,2,17/08/2018,
3117300399,10052286,1,6,1,1,1,2,1,3,23,2,2,2,10/03/2019,
3117743836,10057867,1,4,1,1,3,1,1,3,8,2,2,2,23/12/2017,
3117209324,10052140,1,6,1,1,1,2,1,3,8,2,2,2,11/03/2019,
3117549420,10047345,1,5,1,1,4,1,1,3,15,2,2,2,06/01/2019,
3117960057,10043404,1,5,1,1,4,2,1,3,28,2,2,2,02/02/2018,
3117438976,10064853,1,4,1,1,4,2,1,1,4,2,2,2,08/06/2018,
3117680959,10043646,1,4,1,1,9,1,6,3,13,2,,1,02/05/2018,
3117128779,10053284,1,6,1,1,2,2,1,3,23,2,2,2,04/02/2019,
3117246945,10049486,1,4,1,1,5,2,1,1,6,2,2,2,07/04/2018,
3117397422,10043313,1,4,1,1,2,2,1,1,3,1,2,2,07/01/2019,
3117556209,10053897,1,5,1,2,4,2,1,1,2,2,2,2,23/12/2017,
3117931337,10044322,1,2,1,1,4,1,6,1,4,1,1,1,23/12/2017,
3117440440,10054234,1,1,1,1,9,2,6,3,12,2,2,2,02/05/2018,
3316693110,10048717,1,6,1,1,4,1,1,3,11,2,2,2,01/03/2019,
3316608492,10065318,1,5,1,1,8,2,1,3,8,2,2,2,25/02/2019,
